epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86415,0.44704,3.49892,0.95831,0.02399,0.92857,0.54792,0.31911,0.29814,2.86172,0.79133,5.001e-05,5.001e-05,5.001e-05
2,4.67308,0.41886,3.47191,0.95289,0.02399,0.92857,0.84133,0.59301,0.20707,2.85195,0.7541,0.000105138,0.000105138,0.000105138
3,5.55177,0.34251,3.01242,0.88442,0.02559,1,0.995,0.94683,0.25932,2.75167,0.74436,0.000147063,0.000147063,0.000147063
4,7.47788,0.3011,1.9835,0.85308,0.02708,1,0.995,0.93995,0.31493,2.45372,0.76575,0.000175785,0.000175785,0.000175785
5,11.4265,0.29455,1.47997,0.81399,1,0.77925,0.98625,0.97837,0.25439,2.406,0.75008,0.000191305,0.000191305,0.000191305
6,12.2581,0.27358,1.31897,0.80797,1,0.92191,0.98625,0.96656,0.23858,2.44126,0.74516,0.000193622,0.000193622,0.000193622
7,13.0512,0.27177,1.23796,0.804,0.02724,1,0.97765,0.96983,0.23949,2.50901,0.74258,0.000182737,0.000182737,0.000182737
8,13.8692,0.24409,1.22901,0.79654,0.02593,1,0.92083,0.89856,0.23231,2.55281,0.74002,0.000158648,0.000158648,0.000158648
9,16.9955,0.25345,1.24046,0.79919,0.88294,0.5,0.76017,0.74063,0.2175,2.53406,0.74134,0.000121358,0.000121358,0.000121358
10,19.6693,0.23512,1.17723,0.78735,0.945,0.5,0.71346,0.70878,0.20369,2.51579,0.74057,7.08642e-05,7.08642e-05,7.08642e-05
