epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86422,0.51243,3.11898,1.04528,0.00596,1,0.53894,0.28993,0.26643,2.90874,0.78453,3.334e-05,3.334e-05,3.334e-05
2,4.66431,0.45225,3.10419,1.038,0.00614,1,0.81427,0.59389,0.16638,2.9013,0.76172,8.16997e-05,8.16997e-05,8.16997e-05
3,5.54217,0.43112,2.82183,0.99284,0.00651,1,0.67958,0.63167,0.16796,2.88506,0.74544,0.000128079,0.000128079,0.000128079
4,6.38641,0.35183,2.2688,0.89299,0.00698,1,0.995,0.96106,0.24565,2.71232,0.75107,0.000172478,0.000172478,0.000172478
5,7.23551,0.37914,1.58835,0.8974,1,0.57898,0.995,0.95916,0.29505,2.24741,0.76887,0.000214896,0.000214896,0.000214896
6,8.07621,0.36985,1.13849,0.88832,1,0.5871,0.995,0.995,0.24461,2.29361,0.75846,0.000255334,0.000255334,0.000255334
7,8.91121,0.37053,1.0071,0.87746,0.00753,1,0.995,0.94964,0.31959,2.50608,0.77589,0.000293792,0.000293792,0.000293792
8,9.71099,0.39733,0.94776,0.92222,0.00677,1,0.995,0.95916,0.31485,2.53973,0.77741,0.000330269,0.000330269,0.000330269
9,10.5266,0.45907,0.95085,0.93487,0.00553,1,0.995,0.94657,0.32323,2.63671,0.79807,0.000364766,0.000364766,0.000364766
10,11.3338,0.45597,0.93001,0.93555,0.03249,1,0.95833,0.93703,0.26226,2.58495,0.78388,0.000397283,0.000397283,0.000397283
11,12.1421,0.44147,0.89135,0.90816,1,0.55973,0.91738,0.88043,0.29743,2.36857,0.79149,0.000427819,0.000427819,0.000427819
12,12.9377,0.38857,0.90355,0.89872,1,0.56537,0.995,0.94762,0.27767,2.3151,0.78015,0.000456375,0.000456375,0.000456375
13,13.7549,0.41672,0.91166,0.93352,1,0.58887,0.995,0.93506,0.285,2.17057,0.79103,0.00048295,0.00048295,0.00048295
14,14.7477,0.41405,0.87654,0.91211,1,0.59182,0.995,0.95914,0.26096,2.12584,0.77686,0.000507545,0.000507545,0.000507545
15,15.5481,0.3881,0.83391,0.88624,1,0.58173,0.995,0.96105,0.25831,2.2599,0.76997,0.000530159,0.000530159,0.000530159
16,16.3475,0.37752,0.83233,0.89342,1,0.58066,0.995,0.92307,0.30827,2.317,0.78343,0.000550793,0.000550793,0.000550793
17,17.1492,0.38312,0.83358,0.92765,1,0.59199,0.89679,0.82622,0.3099,2.21795,0.77548,0.000569447,0.000569447,0.000569447
18,17.9324,0.37755,0.77073,0.89476,1,0.59155,0.98591,0.92098,0.32421,2.2726,0.78775,0.000586121,0.000586121,0.000586121
19,18.7104,0.37395,0.77787,0.87669,1,0.5895,0.995,0.94957,0.33166,2.30401,0.78769,0.000600813,0.000600813,0.000600813
20,19.4885,0.43028,0.79097,0.9376,1,0.58709,0.995,0.92034,0.33672,2.34,0.79787,0.000613526,0.000613526,0.000613526
21,20.268,0.37155,0.75744,0.87401,0.98063,0.5,0.94955,0.87944,0.34639,2.42932,0.81421,0.000624258,0.000624258,0.000624258
22,21.053,0.3646,0.73391,0.86479,0.98407,0.5,0.88645,0.85278,0.34069,2.55664,0.81244,0.00063301,0.00063301,0.00063301
23,21.843,0.43993,0.80502,0.91553,1,0.59108,0.82551,0.79155,0.32238,2.62457,0.79181,0.000639781,0.000639781,0.000639781
24,22.6594,0.38449,0.75487,0.88216,0.98309,0.5,0.67038,0.60491,0.3846,2.61264,0.80758,0.000644572,0.000644572,0.000644572
25,23.45,0.37397,0.72199,0.86522,0.98247,0.5,0.70735,0.63531,0.36402,2.54504,0.80258,0.000647383,0.000647383,0.000647383
26,24.2519,0.36136,0.80886,0.90196,0.98312,0.5,0.6479,0.57754,0.34705,2.45671,0.80094,0.000648213,0.000648213,0.000648213
27,25.0513,0.3704,0.70402,0.89295,0.98509,0.5,0.62104,0.55441,0.2757,2.64885,0.79187,0.000647063,0.000647063,0.000647063
28,25.8376,0.33525,0.71763,0.87528,0.9865,0.5,0.56898,0.54823,0.24415,2.72435,0.79337,0.000643932,0.000643932,0.000643932
29,26.6071,0.33137,0.67688,0.89507,0.9865,0.5,0.56898,0.54823,0.24415,2.72435,0.79337,0.000638821,0.000638821,0.000638821
30,27.3874,0.31468,0.67071,0.8476,0.98774,0.5,0.55816,0.55005,0.2182,2.58029,0.76259,0.00063173,0.00063173,0.00063173
31,28.347,0.30636,0.65541,0.84716,0.98755,0.5,0.57854,0.57854,0.23603,2.31718,0.77192,0.000622658,0.000622658,0.000622658
32,29.1255,0.33393,0.65709,0.89963,0.9891,0.5,0.6108,0.58248,0.29363,2.09679,0.77805,0.000611606,0.000611606,0.000611606
33,29.8896,0.308,0.63112,0.82686,0.9891,0.5,0.6108,0.58248,0.29363,2.09679,0.77805,0.000598573,0.000598573,0.000598573
34,30.6718,0.33002,0.66762,0.88578,0.99006,0.5,0.81192,0.80811,0.27076,1.99111,0.78133,0.000577782,0.000577782,0.000577782
35,31.4583,0.36379,0.62572,0.86995,0.99088,0.5,0.85382,0.85382,0.26815,2.00728,0.79114,0.000544776,0.000544776,0.000544776
36,32.2444,0.33624,0.63071,0.85519,0.99102,0.5,0.87962,0.87962,0.2504,1.9766,0.77128,0.000511769,0.000511769,0.000511769
37,33.0084,0.35899,0.6595,0.89464,0.99102,0.5,0.87962,0.87962,0.2504,1.9766,0.77128,0.000478762,0.000478762,0.000478762
38,33.7904,0.37542,0.65277,0.89014,1,0.59523,0.995,0.995,0.22798,1.97379,0.76307,0.000445756,0.000445756,0.000445756
39,34.6044,0.35241,0.64045,0.87995,1,0.59555,0.995,0.995,0.23256,1.90105,0.76561,0.000412749,0.000412749,0.000412749
40,35.3988,0.34211,0.67216,0.87182,1,0.59571,0.995,0.995,0.21876,1.87271,0.74838,0.000379743,0.000379743,0.000379743
41,37.8731,0.24787,1.04521,0.7966,1,0.59571,0.995,0.995,0.21876,1.87271,0.74838,0.000346736,0.000346736,0.000346736
42,38.8648,0.24294,1.01718,0.80534,1,0.59557,0.995,0.97903,0.20467,1.84281,0.74363,0.000313729,0.000313729,0.000313729
43,39.7305,0.23924,0.97851,0.76845,1,0.59571,0.995,0.98003,0.19262,1.9013,0.73218,0.000280723,0.000280723,0.000280723
44,40.5492,0.23032,0.94724,0.77433,1,0.59524,0.98591,0.98591,0.19,2.00029,0.73037,0.000247716,0.000247716,0.000247716
45,41.3353,0.2224,0.96789,0.75431,1,0.59524,0.98591,0.98591,0.19,2.00029,0.73037,0.00021471,0.00021471,0.00021471
46,42.1389,0.20767,0.92581,0.79605,1,0.59513,0.96167,0.96167,0.18874,2.06632,0.72823,0.000181703,0.000181703,0.000181703
47,43.1917,0.2172,0.94761,0.81918,1,0.59518,0.98591,0.98591,0.1882,2.06117,0.73068,0.000148696,0.000148696,0.000148696
48,43.9739,0.20382,0.93746,0.80253,1,0.59545,0.995,0.995,0.1916,2.06833,0.73374,0.00011569,0.00011569,0.00011569
49,44.7704,0.19079,0.91066,0.77306,1,0.59545,0.995,0.995,0.1916,2.06833,0.73374,8.26832e-05,8.26832e-05,8.26832e-05
50,45.5798,0.20251,0.92931,0.78887,1,0.59559,0.995,0.995,0.19209,2.08944,0.73377,4.96766e-05,4.96766e-05,4.96766e-05
