epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55248,1.0597,3.71444,1.16045,0.02681,0.94444,0.05846,0.02423,1.13674,3.63692,1.38328,0,0,0
2,4.88026,1.10295,3.53341,1.22392,0.0269,0.94444,0.05794,0.02461,1.14555,3.63639,1.38736,1.63399e-05,1.63399e-05,1.63399e-05
3,5.26681,1.19963,3.65636,1.24518,0.02836,1,0.06377,0.02595,1.13929,3.64625,1.38847,3.20197e-05,3.20197e-05,3.20197e-05
4,5.78436,1.13977,3.67857,1.26102,0.02836,1,0.06268,0.02863,0.99453,3.55499,1.25573,4.70394e-05,4.70394e-05,4.70394e-05
5,6.22459,0.99617,3.28174,1.23834,0.02839,1,0.06099,0.0314,1.00196,3.54829,1.2509,6.13989e-05,6.13989e-05,6.13989e-05
6,6.61394,0.92107,3.45608,1.11139,0.02834,1,0.08048,0.04761,0.78358,3.39996,1.04139,7.50984e-05,7.50984e-05,7.50984e-05
7,6.95895,0.87648,3.31697,1.04892,0.02831,1,0.08102,0.05503,0.64359,3.35362,0.95453,8.81376e-05,8.81376e-05,8.81376e-05
8,7.30901,0.81159,3.12891,0.99674,0.0285,1,0.08457,0.05969,0.60999,3.30429,0.91032,0.000100517,0.000100517,0.000100517
9,7.63908,0.79459,2.84551,0.96509,0.02831,1,0.13801,0.06799,0.56957,3.27682,0.88643,0.000112236,0.000112236,0.000112236
10,7.96475,0.81878,2.76633,0.94503,0.02831,1,0.18421,0.07549,0.53648,3.25647,0.87089,0.000123295,0.000123295,0.000123295
11,8.29861,0.68646,2.5361,0.88193,0.02837,1,0.18549,0.0806,0.52361,3.21445,0.86252,0.000133693,0.000133693,0.000133693
12,8.63458,0.59807,2.2154,0.85876,0.02852,1,0.22202,0.17772,0.51088,3.16622,0.84904,0.000143432,0.000143432,0.000143432
13,8.96979,0.65882,2.27666,0.87005,0.02844,1,0.3246,0.28237,0.50711,3.11034,0.84141,0.00015251,0.00015251,0.00015251
14,9.28796,0.63457,2.01305,0.84359,0.0285,1,0.50962,0.45203,0.5134,3.0089,0.83534,0.000160929,0.000160929,0.000160929
15,9.60982,0.59918,2.06712,0.89216,0.02861,1,0.5354,0.44859,0.5282,2.87113,0.82792,0.000168687,0.000168687,0.000168687
16,9.91451,0.64721,1.54451,0.90173,0.02854,1,0.55855,0.46918,0.57793,2.78255,0.8347,0.000175785,0.000175785,0.000175785
17,10.2759,0.61223,1.54653,0.87728,0.0285,1,0.59598,0.48011,0.62364,2.69835,0.83878,0.000182223,0.000182223,0.000182223
18,10.598,0.62297,1.35213,0.86642,0.0285,1,0.59598,0.48011,0.62364,2.69835,0.83878,0.000188001,0.000188001,0.000188001
19,10.923,0.51476,1.22473,0.84848,0.02855,1,0.68764,0.57691,0.58649,2.59255,0.83046,0.000193119,0.000193119,0.000193119
20,11.2348,0.55967,1.10417,0.86238,0.02855,1,0.68764,0.57691,0.58649,2.59255,0.83046,0.000197576,0.000197576,0.000197576
21,11.564,0.58899,1.16521,0.83936,0.02849,1,0.71861,0.60225,0.57211,2.54769,0.83007,0.000201374,0.000201374,0.000201374
22,11.8684,0.54715,1.13902,0.85754,0.02849,1,0.71861,0.60225,0.57211,2.54769,0.83007,0.000204511,0.000204511,0.000204511
23,12.1955,0.57437,1.20616,0.84838,0.02854,1,0.73162,0.60559,0.57413,2.51859,0.83524,0.000206988,0.000206988,0.000206988
24,12.5049,0.51514,0.93474,0.85703,0.02854,1,0.73162,0.60559,0.57413,2.51859,0.83524,0.000208805,0.000208805,0.000208805
25,12.8254,0.54743,1.02699,0.85456,0.08119,1,0.73162,0.60838,0.56341,2.47487,0.8349,0.000209962,0.000209962,0.000209962
26,13.1262,0.64,1.11602,0.90225,0.08119,1,0.73162,0.60838,0.56341,2.47487,0.8349,0.000210459,0.000210459,0.000210459
27,13.4429,0.56217,0.82029,0.8602,0.08161,1,0.73162,0.64192,0.50651,2.41677,0.82859,0.000210295,0.000210295,0.000210295
28,13.7413,0.53427,0.91111,0.85291,0.08161,1,0.73162,0.64192,0.50651,2.41677,0.82859,0.000209472,0.000209472,0.000209472
29,14.0587,0.56469,0.97959,0.9112,0.02967,1,0.73162,0.65052,0.49573,2.37345,0.82997,0.000207988,0.000207988,0.000207988
30,14.3599,0.53673,0.91015,0.85327,0.02967,1,0.73162,0.65052,0.49573,2.37345,0.82997,0.000205844,0.000205844,0.000205844
31,14.6862,0.54738,0.80233,0.87443,0.08457,1,0.73162,0.62971,0.52459,2.34323,0.84062,0.000203041,0.000203041,0.000203041
32,14.9933,0.67853,0.8469,0.85667,0.08457,1,0.73162,0.62971,0.52459,2.34323,0.84062,0.000199577,0.000199577,0.000199577
33,15.3097,0.53687,0.92867,0.87713,0.03194,1,0.73162,0.62726,0.51936,2.309,0.85049,0.000195452,0.000195452,0.000195452
34,15.6008,0.68055,0.82033,0.87442,0.03194,1,0.73162,0.62726,0.51936,2.309,0.85049,0.000190668,0.000190668,0.000190668
35,15.9018,0.6263,0.76107,0.86698,0.03367,1,0.73162,0.63719,0.50558,2.27094,0.85951,0.000185224,0.000185224,0.000185224
36,16.1969,0.47815,0.70422,0.85885,0.03367,1,0.73162,0.63719,0.50558,2.27094,0.85951,0.000179119,0.000179119,0.000179119
37,16.5258,0.58944,0.74382,0.88406,0.03441,1,0.73162,0.65779,0.4826,2.24779,0.86179,0.000172354,0.000172354,0.000172354
38,16.8424,0.5272,0.74737,0.86813,0.03441,1,0.73162,0.65779,0.4826,2.24779,0.86179,0.00016493,0.00016493,0.00016493
39,17.1678,0.50462,0.70143,0.80085,0.03497,1,0.73162,0.66477,0.45477,2.23389,0.85676,0.000156845,0.000156845,0.000156845
