epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04837,0,109.266,0,0,0,0,0,0,41.5312,0,5.001e-05,5.001e-05,5.001e-05
2,4.83834,0,109.256,0,0,0,0,0,0,41.875,0,0.00011438,0.00011438,0.00011438
3,5.60422,0,107.425,0,0,0,0,0,0,42.4688,0,0.000176109,0.000176109,0.000176109
4,6.39901,0,103.324,0,0,0,0,0,0,42.5312,0,0.000235197,0.000235197,0.000235197
5,8.76984,0,97.4956,0,0,0,0,0,0,42.7812,0,0.000291645,0.000291645,0.000291645
6,12.0903,0,94.0199,0,0,0,0,0,0,43.4688,0,0.000345452,0.000345452,0.000345452
7,12.848,0,90.0395,0,0,0,0,0,0,43.0625,0,0.000396619,0.000396619,0.000396619
8,13.5926,0,85.8872,0,0,0,0,0,0,37.3438,0,0.000445146,0.000445146,0.000445146
9,14.377,0,82.8696,0,0,0,0,0,0,33.4688,0,0.000491032,0.000491032,0.000491032
10,16.7667,0,81.2255,0,0,0,0,0,0,25.7344,0,0.000534277,0.000534277,0.000534277
11,20.0812,0,80.9394,0,0,0,0,0,0,24.5312,0,0.000574882,0.000574882,0.000574882
